"Код"	"Наименование"	"КодРасхода"	"Субкод"
1	"211 Заработная плата"	"211"	"211 ЗП"
2	"212 Прочие выплаты"	"212"	"212"
3	"213 Начисления на выплаты по оплате труда"	"213"	"213 Взносы"
4	"221 Услуги связи"	"221"	"221 Услуги связи"
5	"222 Транспортные услуги"	"222"	"222 Транспортные услуги"
6	"223 Коммунальные услуги"	"223"	"223 Коммунальные услуги"
7	"224 Арендная плата"	"224"	"224 Арендная плата"
8	"225 Работы услуги по содержанию имущества"	"225"	"225 Содержание имущества"
9	"226 Прочие работы услуги"	"226"	"226 Прочие работы услуги"
10	"290 Прочие расходы"	"290"	"Прочие расходы"
11	"310 Приобретение прочих ОС"	"310"	"Приобретение ОС до 100к"
12	"340 Медикаменты перевязочные средства"	"340"	"Приобретение лекарственных препаратов и материалов, применяемых в медицинских целях"
13	"340 Приобретение мед инструментария"	"340"	"Приобретение мед инструментария"
14	"340 Приобретение продуктов питания"	"340"	"Приобретение продуктов питания"
15	"340 Приобретение химРеактивов стекла химпосуды"	"340"	"Приобретение химРеактивов"
16	"340 Приобретение мягкого инвентаря"	"340"	"Приобретение мягкого инвентаря"
17	"340 Приобретение ГСМ"	"340"	"Приобретение ГСМ"
18	"340 Приобретение прочих материальных запасов"	"340"	"Приобретение прочих материальных запасов"
20	"262 Пособия"	"262"	"Социальные пособия"
24	"226 Организация питания Прочие работы услуги  (оутсорсинг)"	"226"	"226 Прочие работы услуги"
25	"0005 Поступление НСЗ"	"0005"	"Поступление ТФОМС"
26	"0004 Поступление Незастрахованные"	"0004"	"Поступление ТФОМС"
28	"0001 Поступление Альфа"	"0001"	"Поступление СМО"
29	"0002 Поступление Капитал"	"0002"	"Поступление СМО"
30	"0003 Поступление ТФОМС иногородние"	"0003"	"Поступление ТФОМС"
31	"295 Штрафы"	"295"	"Прочие расходы"
32	"291 прочие Налоги"	"291"	"Прочие расходы"
33	"292 пеня"	"292"	"Прочие расходы"
34	"0000 Поступление ПРОЧИЕ"	"0000"	"Поступление ПРОЧИЕ"
35	"296 Моральный вред"	"296"	
36	"342 Продукты питания"	"342"	"Приобретение продуктов питания"
37	"346 Прочие МЗ"	"346"	"Приобретение прочих материальных запасов"
38	"343 ГСМ"	"343"	"Приобретение ГСМ"
39	"266 Соц пособия"	"266"	"Социальные пособия"
40	"341  Приобретение лекарственных препаратов и материалов, применяемых в медицинских целях"	"341"	"Приобретение лекарственных препаратов и материалов, применяемых в медицинских целях"
42	"341 Химреактивы (мед исследования)"	"346"	"Приобретение химРеактивов (мед)"
43	"341 Прочие"	"341"	"Приобретение прочих материальных запасов"
44	"344 Приобретение Строительных материалов"	"344"	"Приобретение Строительных материалов"
45	"345 Приобретение мягкого инвентаря"	"345"	"Приобретение мягкого инвентаря"
46	"347 Приобретение материальных запасов для целей капитальных вложений"	"347"	"Приобретение материальных запасов для целей капитальных вложений"
47	"349 Приобретение прочих материальных запасов однократного применения"	"349"	"Приобретение прочих материальных запасов однократного применения"
48	"227 Страхование"	"227"	"Страхование"
49	"214 Прочие несоциальные выплаты"	"214"	"Прочие несоциальные выплаты"
50	"264 Пенсии пособия бывшим работникам"	"264"	
51	"0006 Восстановление РЭ иногородние"	"0006"	"Поступление ТФОМС"
52	"266 прочие (по 112 квр)"	"266"	"Приобретение прочих материальных запасов"
53	"214 Прочие выплаты (молоко КВР 244)"	"214"	"Приобретение прочих материальных запасов"
54	"342 Продукты питания (прочее - молоко вода)"	"342"	"Приобретение прочих материальных запасов"
